
CR 0: canker-lesion != dk-brown-blk and int-discolor != brown and leafspot-size != gt-1/8 and leaf-mild != absent => class: powdery-mildew, samples: 17, class_counts: {'2-4-d-injury': 0, 'alternarialeaf-spot': 0, 'anthracnose': 0, 'bacterial-blight': 0, 'bacterial-pustule': 0, 'brown-spot': 0, 'brown-stem-rot': 0, 'charcoal-rot': 0, 'cyst-nematode': 0, 'diaporthe-pod-&-stem-blight': 0, 'diaporthe-stem-canker': 0, 'downy-mildew': 0, 'frog-eye-leaf-spot': 0, 'herbicide-injury': 0, 'phyllosticta-leaf-spot': 0, 'phytophthora-rot': 0, 'powdery-mildew': 1, 'purple-seed-stain': 0, 'rhizoctonia-root-rot': 0}

CR 1: canker-lesion != dk-brown-blk and int-discolor != brown and leafspot-size != gt-1/8 and leaf-mild = absent and canker-lesion != tan => class: diaporthe-stem-canker, samples: 71, class_counts: {'2-4-d-injury': 0, 'alternarialeaf-spot': 0, 'anthracnose': 0, 'bacterial-blight': 0, 'bacterial-pustule': 0, 'brown-spot': 0, 'brown-stem-rot': 0, 'charcoal-rot': 0, 'cyst-nematode': 0, 'diaporthe-pod-&-stem-blight': 0, 'diaporthe-stem-canker': 0, 'downy-mildew': 0, 'frog-eye-leaf-spot': 0, 'herbicide-injury': 0, 'phyllosticta-leaf-spot': 0, 'phytophthora-rot': 0, 'powdery-mildew': 0, 'purple-seed-stain': 0, 'rhizoctonia-root-rot': 0}

CR 2: canker-lesion != dk-brown-blk and int-discolor != brown and leafspot-size != gt-1/8 and leaf-mild = absent and canker-lesion = tan => class: purple-seed-stain, samples: 31, class_counts: {'2-4-d-injury': 0, 'alternarialeaf-spot': 0, 'anthracnose': 0, 'bacterial-blight': 0, 'bacterial-pustule': 0, 'brown-spot': 0, 'brown-stem-rot': 0, 'charcoal-rot': 0, 'cyst-nematode': 0, 'diaporthe-pod-&-stem-blight': 0, 'diaporthe-stem-canker': 0, 'downy-mildew': 0, 'frog-eye-leaf-spot': 0, 'herbicide-injury': 0, 'phyllosticta-leaf-spot': 0, 'phytophthora-rot': 0, 'powdery-mildew': 0, 'purple-seed-stain': 0, 'rhizoctonia-root-rot': 0}

CR 3: canker-lesion != dk-brown-blk and int-discolor != brown and leafspot-size = gt-1/8 and leaf-mild != absent => class: downy-mildew, samples: 14, class_counts: {'2-4-d-injury': 0, 'alternarialeaf-spot': 0, 'anthracnose': 0, 'bacterial-blight': 0, 'bacterial-pustule': 0, 'brown-spot': 0, 'brown-stem-rot': 0, 'charcoal-rot': 0, 'cyst-nematode': 0, 'diaporthe-pod-&-stem-blight': 0, 'diaporthe-stem-canker': 0, 'downy-mildew': 1, 'frog-eye-leaf-spot': 0, 'herbicide-injury': 0, 'phyllosticta-leaf-spot': 0, 'phytophthora-rot': 0, 'powdery-mildew': 0, 'purple-seed-stain': 0, 'rhizoctonia-root-rot': 0}

CR 4: canker-lesion != dk-brown-blk and int-discolor != brown and leafspot-size = gt-1/8 and leaf-mild = absent and seed-size != norm => class: cyst-nematode, samples: 21, class_counts: {'2-4-d-injury': 0, 'alternarialeaf-spot': 0, 'anthracnose': 0, 'bacterial-blight': 0, 'bacterial-pustule': 0, 'brown-spot': 0, 'brown-stem-rot': 0, 'charcoal-rot': 0, 'cyst-nematode': 0, 'diaporthe-pod-&-stem-blight': 0, 'diaporthe-stem-canker': 0, 'downy-mildew': 0, 'frog-eye-leaf-spot': 0, 'herbicide-injury': 0, 'phyllosticta-leaf-spot': 0, 'phytophthora-rot': 0, 'powdery-mildew': 0, 'purple-seed-stain': 0, 'rhizoctonia-root-rot': 0}

CR 5: canker-lesion != dk-brown-blk and int-discolor != brown and leafspot-size = gt-1/8 and leaf-mild = absent and seed-size = norm => class: brown-spot, samples: 178, class_counts: {'2-4-d-injury': 0, 'alternarialeaf-spot': 0, 'anthracnose': 0, 'bacterial-blight': 0, 'bacterial-pustule': 0, 'brown-spot': 0, 'brown-stem-rot': 0, 'charcoal-rot': 0, 'cyst-nematode': 0, 'diaporthe-pod-&-stem-blight': 0, 'diaporthe-stem-canker': 0, 'downy-mildew': 0, 'frog-eye-leaf-spot': 0, 'herbicide-injury': 0, 'phyllosticta-leaf-spot': 0, 'phytophthora-rot': 0, 'powdery-mildew': 0, 'purple-seed-stain': 0, 'rhizoctonia-root-rot': 0}

CR 6: canker-lesion != dk-brown-blk and int-discolor = brown => class: brown-stem-rot, samples: 29, class_counts: {'2-4-d-injury': 0, 'alternarialeaf-spot': 0, 'anthracnose': 0, 'bacterial-blight': 0, 'bacterial-pustule': 0, 'brown-spot': 0, 'brown-stem-rot': 1, 'charcoal-rot': 0, 'cyst-nematode': 0, 'diaporthe-pod-&-stem-blight': 0, 'diaporthe-stem-canker': 0, 'downy-mildew': 0, 'frog-eye-leaf-spot': 0, 'herbicide-injury': 0, 'phyllosticta-leaf-spot': 0, 'phytophthora-rot': 0, 'powdery-mildew': 0, 'purple-seed-stain': 0, 'rhizoctonia-root-rot': 0}

CR 7: canker-lesion = dk-brown-blk and fruit-pods != diseased and external-decay != firm-and-dry => class: phytophthora-rot, samples: 53, class_counts: {'2-4-d-injury': 0, 'alternarialeaf-spot': 0, 'anthracnose': 0, 'bacterial-blight': 0, 'bacterial-pustule': 0, 'brown-spot': 0, 'brown-stem-rot': 0, 'charcoal-rot': 0, 'cyst-nematode': 0, 'diaporthe-pod-&-stem-blight': 0, 'diaporthe-stem-canker': 0, 'downy-mildew': 0, 'frog-eye-leaf-spot': 0, 'herbicide-injury': 0, 'phyllosticta-leaf-spot': 0, 'phytophthora-rot': 1, 'powdery-mildew': 0, 'purple-seed-stain': 0, 'rhizoctonia-root-rot': 0}

CR 8: canker-lesion = dk-brown-blk and fruit-pods != diseased and external-decay = firm-and-dry => class: phytophthora-rot, samples: 5, class_counts: {'2-4-d-injury': 0, 'alternarialeaf-spot': 0, 'anthracnose': 0, 'bacterial-blight': 0, 'bacterial-pustule': 0, 'brown-spot': 0, 'brown-stem-rot': 0, 'charcoal-rot': 0, 'cyst-nematode': 0, 'diaporthe-pod-&-stem-blight': 0, 'diaporthe-stem-canker': 0, 'downy-mildew': 0, 'frog-eye-leaf-spot': 0, 'herbicide-injury': 0, 'phyllosticta-leaf-spot': 0, 'phytophthora-rot': 0, 'powdery-mildew': 0, 'purple-seed-stain': 0, 'rhizoctonia-root-rot': 0}

CR 9: canker-lesion = dk-brown-blk and fruit-pods = diseased and leafspot-size != dna => class: frog-eye-leaf-spot, samples: 37, class_counts: {'2-4-d-injury': 0, 'alternarialeaf-spot': 0, 'anthracnose': 0, 'bacterial-blight': 0, 'bacterial-pustule': 0, 'brown-spot': 0, 'brown-stem-rot': 0, 'charcoal-rot': 0, 'cyst-nematode': 0, 'diaporthe-pod-&-stem-blight': 0, 'diaporthe-stem-canker': 0, 'downy-mildew': 0, 'frog-eye-leaf-spot': 1, 'herbicide-injury': 0, 'phyllosticta-leaf-spot': 0, 'phytophthora-rot': 0, 'powdery-mildew': 0, 'purple-seed-stain': 0, 'rhizoctonia-root-rot': 0}

CR 10: canker-lesion = dk-brown-blk and fruit-pods = diseased and leafspot-size = dna => class: anthracnose, samples: 22, class_counts: {'2-4-d-injury': 0, 'alternarialeaf-spot': 0, 'anthracnose': 1, 'bacterial-blight': 0, 'bacterial-pustule': 0, 'brown-spot': 0, 'brown-stem-rot': 0, 'charcoal-rot': 0, 'cyst-nematode': 0, 'diaporthe-pod-&-stem-blight': 0, 'diaporthe-stem-canker': 0, 'downy-mildew': 0, 'frog-eye-leaf-spot': 0, 'herbicide-injury': 0, 'phyllosticta-leaf-spot': 0, 'phytophthora-rot': 0, 'powdery-mildew': 0, 'purple-seed-stain': 0, 'rhizoctonia-root-rot': 0}
